detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD14279112,1.00,Nov 27,Nov 30,"$2,878","$3,179","$2,878",LD14279112,LD14279112,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",62.8,None,1.02,Excellent,Good,63.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3345251062/still_230x230.jpg,https://bluenile.v360.in/26/imaged/gia-3345251062/1/,"{'label': '6.35 x 6.24 x 3.96 mm', 'labelSmall': '6.35 x 6.24 x 3.96'}",False,None,0.24973194,False,False
./diamond-details/LD12007038,1.00,Nov 27,Nov 30,"$2,944","$3,279","$2,944",LD12007038,LD12007038,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.6,None,1.02,Excellent,Good,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2317950156/still_230x230.jpg,https://bluenile.v360.in/26/imaged/gia-2317950156/1/,"{'label': '6.28 x 6.15 x 4.02 mm', 'labelSmall': '6.28 x 6.15 x 4.02'}",False,None,0.6319524,False,False
./diamond-details/LD13970561,1.00,Nov 13,Nov 16,"$3,001",None,"$3,001",LD13970561,LD13970561,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",61.4,None,1.01,Excellent,Good,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6352334571/still_230x230.jpg,https://bluenile.v360.in/63/imaged/gia-6352334571/1/,"{'label': '6.33 x 6.38 x 3.90 mm', 'labelSmall': '6.33 x 6.38 x 3.90'}",False,None,0.72699404,False,False
./diamond-details/LD13904303,1.00,Nov 18,Nov 19,"$3,045",None,"$3,045",LD13904303,LD13904303,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",62.4,None,1.01,Excellent,Good,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7346415965/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7346415965/1/,"{'label': '6.36 x 6.42 x 3.99 mm', 'labelSmall': '6.36 x 6.42 x 3.99'}",False,None,0.6794216,False,False
./diamond-details/LD14154227,1.01,Nov 25,Nov 27,"$3,092","$3,500","$3,061",LD14154227,LD14154227,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",63.3,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6355661355/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-6355661355/1/,"{'label': '6.30 x 6.25 x 3.97 mm', 'labelSmall': '6.30 x 6.25 x 3.97'}",False,None,0.5503945,False,False
./diamond-details/LD12969891,1.01,Nov 18,Nov 19,"$3,256",None,"$3,224",LD12969891,LD12969891,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.1,Strong,1.01,Very Good,Very Good,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5333614860/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-5333614860/1/,"{'label': '6.20 x 6.29 x 4.00 mm', 'labelSmall': '6.20 x 6.29 x 4.00'}",False,None,0.4776439,False,False
./diamond-details/LD14031183,1.01,Nov 18,Nov 19,"$3,312",None,"$3,279",LD14031183,LD14031183,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.0,Medium,1.01,Excellent,Very Good,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1358504454/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-1358504454/1/,"{'label': '6.19 x 6.28 x 3.99 mm', 'labelSmall': '6.19 x 6.28 x 3.99'}",False,None,0.5204407,False,False
./diamond-details/LD13849480,1.00,Nov 18,Nov 19,"$3,326","$3,485","$3,326",LD13849480,LD13849480,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.5,None,1.01,Excellent,Very Good,57.0,False,None,None,"{'label': '6.30 x 6.21 x 4.03 mm', 'labelSmall': '6.30 x 6.21 x 4.03'}",False,None,0.24136278,False,False
./diamond-details/LD13849489,1.00,Nov 18,Nov 19,"$3,326",None,"$3,326",LD13849489,LD13849489,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.6,None,1.01,Excellent,Very Good,59.0,False,None,None,"{'label': '6.27 x 6.19 x 4.03 mm', 'labelSmall': '6.27 x 6.19 x 4.03'}",False,None,0.24916135,False,False
./diamond-details/LD13363692,1.00,Nov 27,Nov 30,"$3,480",None,"$3,480",LD13363692,LD13363692,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",62.7,Faint,1.01,Excellent,Good,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1349471956/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-1349471956/1/,"{'label': '6.36 x 6.29 x 3.97 mm', 'labelSmall': '6.36 x 6.29 x 3.97'}",False,None,0.37390426,False,False
