Vendor SKU,Shape,Carat,Color,Fancy Color Description,Clarity,Cut,Depth,Table Percent,Polish,Crown Angle,Crown Height,Lower Half,Pavlilion Angle,Pavillion Depth,Star Length,Facet,Symmetry,Fluorescence,Measurements,Culet,Girdle,Cert Lab,Cert ID,Cert Lab 2,Cert ID 2,Vendor Price(Total),Vendor Price Per Carat,Memo Flag,Eye Clean,Milky,Brand,Inscription,Country Of Origin,Country of Manufacture ,Pic URL,Canada Mark,Rio Tinto,Comments
67303,Round,1,G,,VVS1,Very Good,60.2,62,Very Good,,,,,,,,Good,None,6.45x6.52x3.90,None,Medium,GIA,7346467897,,,5671,5671,No,Yes,No,Regular,,ISR,ISR,,,,
67300,Round,1.01,D,,VS1,Good,62.4,63,Very Good,,,,,,,,Good,None,6.35x6.46x3.99,None,Very Thin,GIA,1349464895,,,5406.53,5353,No,Yes,No,Regular,,ISR,ISR,,,,
67298,Round,1,H,,VS1,Very Good,60.7,60,Very Good,,,,,,,,Very Good,None,6.42x6.51x3.93,None,Medium,GIA,2348464894,,,4505,4505,No,Yes,No,Regular,,ISR,ISR,,,,
67296,Round,1.03,D,,VVS2,Very Good,58.1,65,Very Good,,,,,,,,Very Good,None,6.62x6.68x3.86,None,Medium,GIA,7341464724,,,6769.16,6572,No,Yes,No,Regular,,ISR,ISR,,,,
67294,Round,1,D,,VVS2,Good,61.4,62,Good,,,,,,,,Good,Faint Blue,6.32x6.42x3.91,None,Medium,GIA,3345467369,,,5830,5830,No,Yes,No,Regular,,ISR,ISR,,,,
67292,Round,1.03,H,,VVS1,Good,62.9,62,Very Good,,,,,,,,Good,None,6.35x6.48x4.03,None,Very Thin,GIA,6341467570,,,4694.74,4558,No,Yes,No,Regular,,ISR,ISR,,,,
67291,Round,1,D,,VVS2,Very Good,59.8,59,Very Good,,,,,,,,Very Good,None,6.49x6.55x3.90,None,TN,GIA,5346467622,,,6556.1,6556.1,No,Yes,No,Regular,,ISR,ISR,,,,
67286,Round,1.03,D,,VVS1,Excellent,61.1,59,Excellent,,,,,,,,Excellent,None,6.48x6.54x3.98,None,TN,GIA,6342464726,,,10590.46,10282,No,Yes,No,Regular,,ISR,ISR,,,,
18VJ143370,Cushion,3.01,E,,SI1,,67.4,72,Very Good,,,,,,,,Very Good,Medium Blue,8.57x8.22x5.54,None,Medium,GIA,2286912886,,,30741.1601,10213.01,No,Yes,No,Regular,,ISR,ISR,,,,
AGJ193760,Cushion,3.51,I,,SI1,,72.7,60,Excellent,,,,,,,,Excellent,S,8.58x8.12x5.91,None,Thick,GIA,5202075312,,,26236.8639,7474.89,No,Yes,No,Regular,,ISR,ISR,,,,
INJ203057,Pear,3.02,J,,VS2,,61.2,58,Excellent,,,,,,,,Excellent,None,12.92x8.08x4.94,None,Slightly Thick,GIA,1358006932,,,24080.876,7973.8,No,Yes,No,Regular,,ISR,ISR,,,,
GIAJ205409,Cushion,3.06,E,,VVS2,,69.6,62,Very Good,,,,,,,,Very Good,VS,8.40x8.11x5.65,None,Thin,GIA,2356314190,,,30082.0032,9830.72,No,Yes,No,Regular,,ISR,ISR,,,,
LPJ209768,Round,3.6,J,,SI1,Excellent,63,57,Excellent,35,15,80,41.4,,45,,Excellent,None,9.71x9.76x6.13,None,Medium,GIA,6345965917,,,32551.74,9042.15,No,Yes,No,Regular,,ISR,ISR,,,,
GIAJ210521,Cushion,4.02,J,,VS2,,69.3,72,Very Good,,,,,,,,Good,None,9.24x8.59x5.96,None,Medium,GIA,5201902137,,,35304.042,8782.1,No,Yes,No,Regular,,ISR,ISR,,,,
OKJ212885,Cushion,3.88,H,,VS1,,64.1,69,Very Good,,,,,,,,Very Good,None,9.39x8.84x5.67,None,Medium,GIA,6355737716,,,46619.4416,12015.32,No,Yes,No,Regular,,ISR,ISR,,,,
INJ215485,Round,2.51,I,,SI2,Very Good,64,56,Excellent,37,16.5,75,40.2,,45,,Excellent,None,8.51x8.46x5.43,None,Thick,GIA,2356450202,,,16277.1743,6484.93,No,Yes,No,Regular,,ISR,ISR,,,,
LPJ215531,Round,2.51,K,,VS2,Excellent,62.6,56,Excellent,36,16,75,40.8,,45,,Excellent,None,8.70x8.64x5.42,None,Medium,GIA,7356355343,,,13707.0849,5460.99,No,Yes,No,Regular,,ISR,ISR,,,,
SPJ216165,Princess,2.52,J,,VS2,,70.9,73,Very Good,,,,,,,,Good,None,7.64x7.60x5.38,None,Very Thin,GIA,1358969987,,,13740.9804,5452.77,No,Yes,No,Regular,,ISR,ISR,,,,
01OGJ216649,Cushion,2.51,H,,SI1,,69.8,67,Very Good,,,,,,,,Very Good,None,8.25x7.09x4.95,None,Slightly Thick,GIA,7366039316,,,18095.0669,7209.19,No,Yes,No,Regular,,ISR,ISR,,,,
INJ218875,Marquise,3.01,J,,SI1,,63.1,57,Excellent,,,,,,,,Very Good,Faint Blue,14.99x7.52x4.75,None,Slightly Thick,GIA,2211150111,,,23429.1477,7783.77,No,Yes,No,Regular,,ISR,ISR,,,,
SPJ218930,Cushion,4.01,H,,SI2,,69.7,64,Very Good,,,,,,,,Very Good,None,8.63x8.62x6.01,None,Slightly Thick,GIA,2205969364,,,35671.9174,8895.74,No,Yes,No,Regular,,ISR,ISR,,,,
SPJ219203,Round,2.5,I,,SI2,Excellent,61.6,62,Excellent,33.5,12.5,75,41.6,,50,,Excellent,None,8.69x8.63x5.33,None,Slightly Thick,GIA,7361023521,,,18373.2,7349.28,No,Yes,No,Regular,,ISR,ISR,,,,
INJ218730,Round,3.74,K,,SI1,Excellent,62.2,54,Excellent,35.5,16.5,75,40.8,,45,,Excellent,None,10.00x9.96x6.20,None,Thin,GIA,2357656612,,,26092.3344,6976.56,No,Yes,No,Regular,,ISR,ISR,,,,
