Carat,Color,Clarity,Cut,Our Prices,Blue Nile Prices
,,,,,
1,G,VVS1,Very Good,['5671'],[]
,,,,,
1.01,D,VS1,Good,"['5406.53', '5577.1695']",[]
,,,,,
1,H,VS1,Very Good,['4505'],[]
,,,,,
1.03,D,VVS2,Very Good,['6769.16'],[]
,,,,,
1,D,VVS2,Good,['5830'],[]
,,,,,
1.03,H,VVS1,Good,['4694.74'],[]
,,,,,
1,D,VVS2,Very Good,['6556.1'],[]
,,,,,
1.03,D,VVS1,Excellent,['10590.46'],[]
,,,,,
1.07,F,SI1,Excellent,['5575.9305'],[]
,,,,,
1.01,E,SI1,Very Good,['5230.386'],"['4139', '4159', '4518', '4880', '4946', '4946', '5255', '5349', '5480', '5561', '5637', '5983']"
,,,,,
1.03,E,SI1,Excellent,['5672.4675'],[]
,,,,,
1.01,E,SI1,Excellent,"['5562.3225', '5562.3225', '5230.386']",[]
,,,,,
1.09,E,VS2,Excellent,['6758.2725'],[]
,,,,,
1.01,D,SI2,Excellent,"['4828.4565', '4183.218', '4254.12']",[]
,,,,,
1.05,D,SI2,Excellent,['5166.315'],[]
,,,,,
1.01,D,SI1,Excellent,['5766.999'],[]
,,,,,
1.01,D,SI1,Very Good,['5418.0945'],"['4589', '4655', '5161', '5197', '5488', '5440', '5599', '5627', '5658', '5699', '5756', '5783', '6054', '6054']"
,,,,,
1.02,D,VS2,Very Good,['6485.976'],"['6151', '6185']"
,,,,,
1.01,D,VS1,Very Good,['7032.1755'],['6010']
,,,,,
1,D,VS1,Very Good,['6722.1'],"['5850', '6456', '5928', '6338', '5940', '5988', '6166']"
,,,,,
1,D,IF,Good,['9863.7'],[]
,,,,,
1,F,VS1,Excellent,['6852.3'],[]
,,,,,
1.01,E,SI2,Excellent,['4740.435'],[]
,,,,,
1.02,D,SI1,Excellent,['6000.813'],[]
,,,,,
1,F,VS1,Very Good,['6540.45'],"['5584', '5652', '6028', '5674', '6059', '5777', '5894', '5940', '6415', '5972', '6028', '6059', '6059', '6356', '6059', '6178', '6187']"
,,,,,
1,F,VS2,Very Good,['6066.9'],"['5158', '5350', '5542', '5542', '5542', '5582', '5594', '5640', '5680', '5693', '5785', '5804', '5996', '5996', '5996', '6056', '6143', '6189']"
,,,,,
1.1,D,VS2,Excellent,['7344.645'],[]
,,,,,
1.05,G,VS2,Excellent,['6459.5475'],[]
,,,,,
1.01,G,VS2,Very Good,['5867.7465'],"['5548', '5567', '5661', '5787', '5897', '6198']"
,,,,,
1,F,SI2,Very Good,['3440.88'],"['3439', '3459', '3460', '3462', '3506', '3545', '3648', '3698', '3698', '3779', '3932', '4026', '4095', '4291', '4250', '4387', '4399', '4399', '4424', '4792', '4505', '4506', '4594', '4702', '4735', '4772', '5067', '5273', '5387', '5455']"
,,,,,
1,E,SI2,Excellent,"['3682.8', '3749.76']",[]
,,,,,
1.01,G,SI2,Excellent,['3176.4096'],[]
,,,,,
1.01,I,SI2,Excellent,"['3313.8504', '2565.5616']",[]
,,,,,
1.01,E,SI2,Very Good,['3381.48'],"['3332', '3698', '3932', '3940', '4322', '4399', '4443', '4494', '4500', '4518', '4622', '4715', '4819', '4819', '4920', '4969', '4995', '5045', '5130', '5612', '5768', '6080']"
,,,,,
1.01,K,IF,Very Good,['3381.48'],[]
,,,,,
1.01,K,SI2,Excellent,"['2120.5152', '2159.784', '2434.6656']",[]
,,,,,
1.01,K,SI2,Very Good,['2120.5152'],[]
,,,,,
1.01,J,SI2,Good,['2257.956'],[]
,,,,,
1.01,F,IF,Very Good,['7079.292'],[]
,,,,,
1.03,J,SI2,Excellent,"['2703.132', '3003.48']",[]
,,,,,
1.12,J,VS2,Excellent,['3718.3104'],[]
,,,,,
1.12,J,IF,Excellent,['4500.9216'],[]
,,,,,
1.02,J,SI2,Excellent,['2875.176'],[]
,,,,,
1.02,H,SI2,Excellent,['3561.4728'],[]
,,,,,
1.07,K,SI2,Very Good,['1913.6736'],[]
,,,,,
1.07,J,SI1,Excellent,['3284.2152'],[]
,,,,,
1,J,SI2,Good,['2089.8'],[]
,,,,,
1,J,SI2,Excellent,"['2284.2', '2527.2']",[]
,,,,,
1,J,SI2,Very Good,"['2381.4', '2575.8']",[]
,,,,,
1,K,SI1,Very Good,['2419.2'],[]
,,,,,
1,H,SI2,Excellent,['3262.68'],[]
,,,,,
1,H,SI2,Very Good,['3319.92'],[]
,,,,,
1.01,J,IF,Excellent,['3992.328'],[]
,,,,,
1.1,J,SI1,Excellent,['3201.66'],[]
,,,,,
1.1,I,SI2,Excellent,['3550.932'],[]
,,,,,
1.01,K,SI2,FR,['1845.6336'],[]
,,,,,
1.01,J,SI2,Excellent,"['2846.988', '2896.074', '2454.3']",[]
,,,,,
1.01,H,SI2,Very Good,['2890.62'],[]
,,,,,
1.01,I,SI2,Very Good,"['3100.0536', '2298.3156']",[]
,,,,,
1.01,J,SI2,Very Good,['2307.042'],[]
,,,,,
1,G,SI2,Very Good,[],"['2878', '3179', '2944', '3279', '3001', '3045', '3326', '3485', '3326', '3480', '3518', '3532', '3532', '3654', '3716', '3932', '3763', '3765', '3798', '3798', '3835', '3853', '3858', '4167', '3932', '3963', '3963', '3964', '4070', '4115', '4116', '4132', '4139', '4216', '4241', '4545', '4242', '4242', '4242', '4276', '4360', '4454', '4492', '4495', '4675', '4964', '5029']"
,,,,,
1.01,G,SI2,Very Good,[],"['3092', '3500', '3256', '3312', '3500', '6547', '3599', '3778', '3646', '3751', '4251', '3803', '3960', '4002', '4038', '4139', '4216', '4582', '4761', '4948']"
,,,,,
1.01,F,SI2,Very Good,[],"['3124', '3192', '3619', '4030', '3641', '3756', '3829', '3971', '4044', '4214', '4406', '4463', '4470', '4664', '5178', '5188']"
,,,,,
