detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD14440704,['0.30'],['Nov 27'],['Nov 30'],['$263'],,['$877'],['LD14440704'],LD14440704,['RD'],['Round'],['SI1'],['K'],['None'],"[{'label': 'Good', 'labelSmall': 'Good'}]",['64.9'],['Faint'],['1.01'],['Excellent'],['Very Good'],['56.0'],[False],,,"[{'label': '4.21 x 4.16 x 2.72 mm', 'labelSmall': '4.21 x 4.16 x 2.72'}]",False,,0.8053725,False,False
./diamond-details/LD14418679,['0.30'],['Nov 24'],['Nov 25'],['$266'],['$286'],['$887'],['LD14418679'],LD14418679,['RD'],['Round'],['SI2'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['60.8'],['Faint'],['1.01'],['Excellent'],['Very Good'],['62.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5211149207/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5211149207/1/,"[{'label': '4.25 x 4.30 x 2.60 mm', 'labelSmall': '4.25 x 4.30 x 2.60'}]",False,,0.90447485,False,False
./diamond-details/LD14525908,['0.30'],['Nov 27'],['Nov 30'],['$269'],,['$897'],['LD14525908'],LD14525908,['RD'],['Round'],['SI2'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['63.2'],['Faint'],['1.01'],['Very Good'],['Very Good'],['55.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6365168680/still_230x230.jpg,https://bluenile.v360.in/43/imaged/gia-6365168680/1/,"[{'label': '4.26 x 4.23 x 2.68 mm', 'labelSmall': '4.26 x 4.23 x 2.68'}]",False,,0.8720187,False,False
./diamond-details/LD14551513,['0.30'],['Nov 18'],['Nov 19'],['$269'],,['$897'],['LD14551513'],LD14551513,['RD'],['Round'],['SI2'],['K'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.2'],['Faint'],['1.00'],['Excellent'],['Excellent'],['56.0'],[False],,,"[{'label': '4.31 x 4.32 x 2.68 mm', 'labelSmall': '4.31 x 4.32 x 2.68'}]",False,,0.8833611,False,False
./diamond-details/LD12681232,['0.30'],['Nov 25'],['Nov 27'],['$270'],['$292'],['$900'],['LD12681232'],LD12681232,['RD'],['Round'],['SI1'],['I'],['None'],"[{'label': 'Good', 'labelSmall': 'Good'}]",['65.9'],['Faint'],['1.01'],['Very Good'],['Very Good'],['54.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6335251002/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-6335251002/1/,"[{'label': '4.15 x 4.11 x 2.72 mm', 'labelSmall': '4.15 x 4.11 x 2.72'}]",False,,0.8304448,False,False
./diamond-details/LD14234909,['0.30'],['Nov 18'],['Nov 19'],['$270'],['$291'],['$900'],['LD14234909'],LD14234909,['RD'],['Round'],['SI2'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['61.0'],['Faint'],['1.00'],['Excellent'],['Excellent'],['58.0'],[False],,,"[{'label': '4.40 x 4.42 x 2.56 mm', 'labelSmall': '4.40 x 4.42 x 2.56'}]",False,,0.8541449,False,False
./diamond-details/LD14235278,['0.30'],['Nov 18'],['Nov 19'],['$270'],['$291'],['$900'],['LD14235278'],LD14235278,['RD'],['Round'],['SI2'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['56.0'],['Faint'],['1.00'],['Excellent'],['Excellent'],['63.2'],[False],,,"[{'label': '4.24 x 4.26 x 2.68 mm', 'labelSmall': '4.24 x 4.26 x 2.68'}]",False,,0.8480483,False,False
./diamond-details/LD14617351,['0.25'],['Nov 18'],['Nov 19'],['$271'],,"['$1,084']",['LD14617351'],LD14617351,['RD'],['Round'],['SI1'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['61.7'],['None'],['1.01'],['Very Good'],['Very Good'],['59.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1359842686/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1359842686/1/,"[{'label': '4.03 x 4.06 x 2.49 mm', 'labelSmall': '4.03 x 4.06 x 2.49'}]",False,,0.91110176,False,False
./diamond-details/LD13701069,['0.23'],['Nov 27'],['Nov 30'],['$272'],,"['$1,183']",['LD13701069'],LD13701069,['RD'],['Round'],['SI1'],['E'],['None'],"[{'label': 'Good', 'labelSmall': 'Good'}]",['64.6'],['None'],['1.00'],['Very Good'],['Good'],['58.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1345981873/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-1345981873/1/,"[{'label': '3.82 x 3.83 x 2.47 mm', 'labelSmall': '3.82 x 3.83 x 2.47'}]",False,,0.8491795,False,False
./diamond-details/LD14622798,['0.30'],['Nov 27'],['Nov 30'],['$273'],,['$910'],['LD14622798'],LD14622798,['RD'],['Round'],['SI2'],['J'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['60.2'],['Faint'],['1.01'],['Very Good'],['Good'],['62.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6362223738/still_230x230.jpg,https://bluenile.v360.in/43/imaged/gia-6362223738/1/,"[{'label': '4.37 x 4.32 x 2.62 mm', 'labelSmall': '4.37 x 4.32 x 2.62'}]",False,,0.8571354,False,False
