detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD14503910,1.00,Nov 25,Nov 27,"$2,361","$2,473","$2,361",LD14503910,LD14503910,CU,Cushion,SI2,D,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.0,Faint,1.10,Excellent,Good,61.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2366194641/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2366194641/1/,"{'label': '5.99 x 5.45 x 3.65 mm', 'labelSmall': '5.99 x 5.45 x 3.65'}",False,None,0.6786065,False,False
./diamond-details/LD14622748,1.01,Nov 25,Nov 27,"$2,562",None,"$2,537",LD14622748,LD14622748,CU,Cushion,SI2,D,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",65.7,None,1.10,Very Good,Good,62.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7361403351/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7361403351/1/,"{'label': '6.17 x 5.61 x 3.69 mm', 'labelSmall': '6.17 x 5.61 x 3.69'}",False,None,0.5516249,False,False
./diamond-details/LD14569546,1.01,Nov 25,Nov 27,"$2,565",None,"$2,540",LD14569546,LD14569546,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.6,Faint,1.15,Excellent,Very Good,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2367324632/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2367324632/1/,"{'label': '6.23 x 5.41 x 3.65 mm', 'labelSmall': '6.23 x 5.41 x 3.65'}",False,None,0.4833293,False,False
./diamond-details/LD14569547,1.01,Nov 25,Nov 27,"$2,604",None,"$2,578",LD14569547,LD14569547,CU,Cushion,SI2,F,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",66.3,Medium,1.04,Very Good,Excellent,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2211190957/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2211190957/1/,"{'label': '5.86 x 5.61 x 3.72 mm', 'labelSmall': '5.86 x 5.61 x 3.72'}",False,None,0.41515973,False,False
./diamond-details/LD14574906,1.02,Nov 25,Nov 27,"$2,635",None,"$2,583",LD14574906,LD14574906,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.8,None,1.22,Excellent,Excellent,62.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2366361454/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2366361454/1/,"{'label': '6.44 x 5.28 x 3.58 mm', 'labelSmall': '6.44 x 5.28 x 3.58'}",False,None,0.36487985,False,False
./diamond-details/LD13261005,1.01,Dec 1,Dec 2,"$2,639",None,"$2,613",LD13261005,LD13261005,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",69.5,None,1.14,Excellent,Very Good,60.0,False,None,None,"{'label': '6.06 x 5.30 x 3.68 mm', 'labelSmall': '6.06 x 5.30 x 3.68'}",False,None,0.28739515,False,False
./diamond-details/LD14384787,1.03,Nov 25,Nov 27,"$2,693","$2,939","$2,615",LD14384787,LD14384787,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.5,None,1.10,Very Good,Excellent,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7356961341/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7356961341/1/,"{'label': '6.00 x 5.47 x 3.70 mm', 'labelSmall': '6.00 x 5.47 x 3.70'}",False,None,0.55824023,False,False
./diamond-details/LD14626718,1.00,Nov 10,Nov 11,"$2,699",None,"$2,699",LD14626718,LD14626718,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.5,Faint,1.01,Excellent,Excellent,61.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5202995442/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5202995442/1/,"{'label': '5.95 x 5.92 x 3.82 mm', 'labelSmall': '5.95 x 5.92 x 3.82'}",False,None,0.4539862,False,True
./diamond-details/LD14535502,1.01,Nov 25,Nov 27,"$2,705",None,"$2,678",LD14535502,LD14535502,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",66.3,Medium,1.10,Excellent,Very Good,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6214178320/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6214178320/1/,"{'label': '6.01 x 5.47 x 3.63 mm', 'labelSmall': '6.01 x 5.47 x 3.63'}",False,None,0.4584535,False,False
./diamond-details/LD14571941,1.01,Nov 12,Nov 13,"$2,726",None,"$2,699",LD14571941,LD14571941,CU,Cushion,SI2,F,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",66.2,Faint,1.05,Very Good,Excellent,57.0,False,None,None,"{'label': '5.87 x 5.58 x 3.69 mm', 'labelSmall': '5.87 x 5.58 x 3.69'}",False,None,0.2046658,False,True
./diamond-details/LD14535517,1.02,Nov 25,Nov 27,"$2,732",None,"$2,678",LD14535517,LD14535517,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",66.0,Faint,1.09,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6365262654/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6365262654/1/,"{'label': '6.07 x 5.56 x 3.68 mm', 'labelSmall': '6.07 x 5.56 x 3.68'}",False,None,0.5081495,False,False
./diamond-details/LD14307331,1.03,Nov 11,Nov 12,"$2,815",None,"$2,733",LD14307331,LD14307331,CU,Cushion,SI2,D,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",63.8,Medium,1.25,Very Good,Very Good,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6352926423/still_230x230.jpg,https://bluenile.v360.in/55/imaged/gia-6352926423/1/,"{'label': '6.75 x 5.39 x 3.44 mm', 'labelSmall': '6.75 x 5.39 x 3.44'}",False,None,0.5746629,False,True
./diamond-details/LD14571930,1.01,Nov 12,Nov 13,"$2,842",None,"$2,814",LD14571930,LD14571930,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.6,Faint,1.10,Excellent,Very Good,61.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1182649326/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-1182649326/1/,"{'label': '6.07 x 5.51 x 3.72 mm', 'labelSmall': '6.07 x 5.51 x 3.72'}",False,None,0.39835253,False,True
./diamond-details/LD14157133,1.01,Nov 25,Nov 27,"$2,856",None,"$2,828",LD14157133,LD14157133,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.9,None,1.05,Excellent,Excellent,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6351735891/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6351735891/1/,"{'label': '5.74 x 5.46 x 3.71 mm', 'labelSmall': '5.74 x 5.46 x 3.71'}",False,None,0.24175677,False,False
./diamond-details/LD14574907,1.06,Nov 25,Nov 27,"$2,860",None,"$2,698",LD14574907,LD14574907,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.9,None,1.20,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7366236837/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7366236837/1/,"{'label': '6.46 x 5.37 x 3.65 mm', 'labelSmall': '6.46 x 5.37 x 3.65'}",False,None,0.4580994,False,False
./diamond-details/LD14279112,1.00,Nov 27,Nov 30,"$2,878","$3,179","$2,878",LD14279112,LD14279112,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",62.8,None,1.02,Excellent,Good,63.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3345251062/still_230x230.jpg,https://bluenile.v360.in/26/imaged/gia-3345251062/1/,"{'label': '6.35 x 6.24 x 3.96 mm', 'labelSmall': '6.35 x 6.24 x 3.96'}",False,None,0.24973194,False,False
./diamond-details/LD12007038,1.00,Nov 27,Nov 30,"$2,944","$3,279","$2,944",LD12007038,LD12007038,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",64.6,None,1.02,Excellent,Good,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2317950156/still_230x230.jpg,https://bluenile.v360.in/26/imaged/gia-2317950156/1/,"{'label': '6.28 x 6.15 x 4.02 mm', 'labelSmall': '6.28 x 6.15 x 4.02'}",False,None,0.6319524,False,False
./diamond-details/LD08483679,1.03,Nov 9,Nov 10,"$2,969",None,"$2,883",LD08483679,LD08483679,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.6,None,1.03,Excellent,Very Good,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2226467055/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-2226467055/1/,"{'label': '5.84 x 5.66 x 3.83 mm', 'labelSmall': '5.84 x 5.66 x 3.83'}",False,None,0.2705639,False,True
./diamond-details/LD14620054,1.01,Nov 11,Nov 12,"$2,969",None,"$2,940",LD14620054,LD14620054,CU,Cushion,SI1,F,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",68.8,None,1.01,Excellent,Very Good,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6342530669/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6342530669/1/,"{'label': '5.84 x 5.80 x 3.99 mm', 'labelSmall': '5.84 x 5.80 x 3.99'}",False,None,0.37764782,False,True
./diamond-details/LD14244455,1.02,Nov 25,Nov 27,"$2,978",None,"$2,920",LD14244455,LD14244455,CU,Cushion,SI2,D,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.8,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5353779814/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5353779814/1/,"{'label': '5.69 x 5.62 x 3.81 mm', 'labelSmall': '5.69 x 5.62 x 3.81'}",False,None,0.3481691,False,False
./diamond-details/LD14503903,1.00,Nov 25,Nov 27,"$2,989",None,"$2,989",LD14503903,LD14503903,CU,Cushion,SI1,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.7,None,1.10,Excellent,Very Good,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6361197231/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6361197231/1/,"{'label': '5.92 x 5.39 x 3.65 mm', 'labelSmall': '5.92 x 5.39 x 3.65'}",False,None,0.40317023,False,False
./diamond-details/LD13970561,1.00,Nov 13,Nov 16,"$3,001",None,"$3,001",LD13970561,LD13970561,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",61.4,None,1.01,Excellent,Good,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6352334571/still_230x230.jpg,https://bluenile.v360.in/63/imaged/gia-6352334571/1/,"{'label': '6.33 x 6.38 x 3.90 mm', 'labelSmall': '6.33 x 6.38 x 3.90'}",False,None,0.72699404,False,False
./diamond-details/LD14569512,1.01,Nov 25,Nov 27,"$3,003",None,"$2,973",LD14569512,LD14569512,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.7,Faint,1.07,Excellent,Excellent,63.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1365360761/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1365360761/1/,"{'label': '5.91 x 5.52 x 3.73 mm', 'labelSmall': '5.91 x 5.52 x 3.73'}",False,None,0.26183516,False,False
./diamond-details/LD14564281,1.00,Nov 25,Nov 27,"$3,015",None,"$3,015",LD14564281,LD14564281,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",65.9,None,1.12,Excellent,Very Good,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6362393276/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6362393276/1/,"{'label': '6.10 x 5.45 x 3.59 mm', 'labelSmall': '6.10 x 5.45 x 3.59'}",False,None,0.22120233,False,False
./diamond-details/LD14503912,1.01,Nov 25,Nov 27,"$3,024",None,"$2,994",LD14503912,LD14503912,CU,Cushion,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",68.1,None,1.15,Excellent,Very Good,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2215167955/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2215167955/1/,"{'label': '6.22 x 5.40 x 3.67 mm', 'labelSmall': '6.22 x 5.40 x 3.67'}",False,None,0.23785917,False,False
./diamond-details/LD14449697,1.00,Nov 23,Nov 24,"$3,037",None,"$3,037",LD14449697,LD14449697,CU,Cushion,SI1,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",67.5,None,1.02,Excellent,Very Good,64.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1369221603/still_230x230.jpg,https://bluenile.v360.in/63/imaged/gia-1369221603/1/,"{'label': '5.78 x 5.67 x 3.83 mm', 'labelSmall': '5.78 x 5.67 x 3.83'}",False,None,0.26263914,False,False
./diamond-details/LD13904303,1.00,Nov 18,Nov 19,"$3,045",None,"$3,045",LD13904303,LD13904303,RD,Round,SI2,G,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",62.4,None,1.01,Excellent,Good,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7346415965/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7346415965/1/,"{'label': '6.36 x 6.42 x 3.99 mm', 'labelSmall': '6.36 x 6.42 x 3.99'}",False,None,0.6794216,False,False
./diamond-details/LD14157120,1.00,Nov 25,Nov 27,"$3,048",None,"$3,048",LD14157120,LD14157120,CU,Cushion,SI2,E,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",68.0,None,1.03,Excellent,Excellent,61.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6351414921/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6351414921/1/,"{'label': '5.68 x 5.54 x 3.77 mm', 'labelSmall': '5.68 x 5.54 x 3.77'}",False,None,0.26703823,False,False
./diamond-details/LD14363000,1.01,Nov 11,Nov 12,"$3,048",None,"$3,018",LD14363000,LD14363000,CU,Cushion,SI1,F,None,"{'label': 'Very Good', 'labelSmall': 'Very Good'}",69.0,None,1.11,Excellent,Very Good,62.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6204790827/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6204790827/1/,"{'label': '5.96 x 5.36 x 3.70 mm', 'labelSmall': '5.96 x 5.36 x 3.70'}",False,None,0.3458869,False,True
