Category,Sex,Sub Category,Product Name,Product Description,Width,Metal,Diamond Shape,Diamond Quantity,Total Carat (min),Average Color,Average Clarity
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Thin French-Cut Pave Set Diamond Eternity Wedding Ring,"Based on one of our best-selling rings, we have made this French Cut pave set eternity ring on a thinner  band, giving you the most delicate look possible with pave set diamonds.  *Stone count and carat total weight will vary depending on ring size.",1.7-1.8 mm,14K White Gold,Round,29,0.26,G-H,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Pave' Set Diamond Eternity Ring (.75 CTW.),"Fully faceted, round brilliant diamonds are pave' set to create the overall appearance of glimmer and shine with this modern classic, pave eternity band. * Please note stone count and total carat weight represented reflect a size 7 ring.   Actual count will vary based on ring size.",1.9 mm,14K White Gold,Round,33,0.75,F-G,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Pave' Set Diamond Eternity Ring (1.00 CTW.),"Fully faceted, round brilliant diamonds are pave' set to create the overall appearance of glimmer and shine with this modern classic, pave eternity band. * Please note stone count and total carat weight represented reflect a size 7 ring.   Actual count will vary based on ring size.",2.2 mm,14K White Gold,Round,30,1,F-G,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Pave' Set Diamond Eternity Ring (1.50 CTW.),"Fully faceted, round brilliant diamonds are pave' set to create the overall appearance of glimmer and shine with this modern classic, pave eternity band. * Please note stone count and total carat weight represented reflect a size 7 ring.   Actual count will vary based on ring size.",2.7 mm,14K White Gold,Round,25,1.5,F-G,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Pave' Set Diamond Eternity Ring (2.00 CTW.),"Fully faceted, round brilliant diamonds are pave' set to create the overall appearance of glimmer and shine with this classic eternity band. 
* Please note stone count and total carat weight represented reflect a size 7 ring.   Actual count will vary based on ring size.",3.0 mm,14K White Gold,Round,23,2,F-G,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Pave Diamond Eternity Ring,This elegant eternity ring is a classic that will glitter across her finger for all of eternity. *Ring size will determine exact number and carat weight,2.2 mm,14K White Gold,Round,38,0.26,F-G,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold French-Cut Pave Diamond Eternity Ring (.50 CTW.),"This elegant eternity ring features French-cut, pave styled setting on a rounded wire using round shaped diamonds. *Exact number and carat total weight will vary depending on actual ring size. Please note that the diamond count listed on the product info reflects a finger size 6.",2.1 mm,14K White Gold,Round,27,0.5,G-H,VS2-SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Ladies 0.28CTW.* Angled Common Prong Diamond Eternity Ring,This elegant eternity ring features dazzling round brilliant cut diamonds with common prongs. *Exact number of diamonds and carat total weight will vary depending on ring size.,1.5 mm,14K White Gold,Round,40,0.28,F-G,VS1-VS2
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Cushion Outline Matching Eternity Wedding Band,"Designed to fit together, side by side, with the same shapes, sizes and setting styles of the engagement ring. Striking and symmetrical!",1.6-1.8 mm,14K White Gold,Round,42,0.46,G-H,VS2- SI1
,,,,,,,,,,,
Wedding,Women,ETERNITY,14K White Gold Ladies 0.50ctw* Angled Common Prong Diamond Eternity Ring,This elegant eternity ring features dazzling round brilliant cut diamonds with common prongs. *Exact number of diamonds and carat total weight will vary depending on ring size.,1.75 mm,14K White Gold,Round,32,0.49,F-G,VS1-VS2
